reactant_1,reactant_2,product,mechanism,pair,arithmetic_score_1,arithmetic_score_2,arithmetic_score_3,arithmetic_score_4,arithmetic_score_5,arithmetic_score_1_reaxys_idx,arithmetic_score_2_reaxys_idx,arithmetic_score_3_reaxys_idx,arithmetic_score_4_reaxys_idx,arithmetic_score_5_reaxys_idx,geometric_score_1,geometric_score_2,geometric_score_3,geometric_score_4,geometric_score_5,geometric_score_1_reaxys_idx,geometric_score_2_reaxys_idx,geometric_score_3_reaxys_idx,geometric_score_4_reaxys_idx,geometric_score_5_reaxys_idx,harmonic_score_1,harmonic_score_2,harmonic_score_3,harmonic_score_4,harmonic_score_5,harmonic_score_1_reaxys_idx,harmonic_score_2_reaxys_idx,harmonic_score_3_reaxys_idx,harmonic_score_4_reaxys_idx,harmonic_score_5_reaxys_idx
CC(Br)C(=O)c1c(C(=O)O)cccc1C(=O)O,CCOC(=O)c1c(O)c(Br)c2ccccc2c1O,*Oc1c(C(=O)OCC)c(OC(=O)c2cccc(C(*)=O)c2C(=O)C(C)Br)c(Br)c2ccccc12,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.24763513513513513,0.24665617623918173,0.24479166666666666,0.24411764705882352,0.2375,76.0,257.0,173.0,146.0,73.0,0.24659848095803594,0.2346800892615947,0.2282177322938192,0.24387932299193904,0.23717082451262844,76.0,146.0,73.0,257.0,173.0,0.24556616654012609,0.22328548655285618,0.2127659575598914,0.243641231693234,0.23684210536343492,76.0,146.0,73.0,257.0,716.0
Cc1c(C)c(C)c(N)c(N)c1C,O=C(O)C1CC1(C(=O)O)c1ccccc1,*Nc1c(C)c(C)c(C)c(C)c1NC(=O)C1CC1(C(*)=O)c1ccccc1,"{'step_growth': ['di_amine', 'di_carboxylic_acid']}",1,0.18333333333333335,0.18333333333333335,0.1715686274509804,0.16826923076923078,0.1639784946236559,595.0,254.0,390.0,588.0,538.0,0.18257418583505536,0.18257418583505536,0.17149858514250885,0.16261090889699772,0.16395645894598823,254.0,595.0,390.0,538.0,588.0,0.18181818191900828,0.18181818191900828,0.17142857152865307,0.1571428572494694,0.1639344263295351,254.0,595.0,390.0,538.0,588.0
OCc1cc(N=Nc2ccc(Br)cc2)ccc1O,O=C(O)CC(C(=O)O)c1ccc(Br)cc1F,*Oc1ccc(N=Nc2ccc(Br)cc2)cc1COC(=O)C(CC(*)=O)c1ccc(Br)cc1F,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.2637065637065637,0.2637065637065637,0.25223214285714285,0.25223214285714285,0.25223214285714285,149.0,33.0,24.0,32.0,165.0,0.26362486509824806,0.26362486509824806,0.25,0.25,0.25,149.0,33.0,414.0,165.0,32.0,0.2635431919009404,0.2635431919009404,0.2477876107212311,0.2477876107212311,0.2477876107212311,149.0,33.0,32.0,24.0,165.0
O=C(Cc1ccc(Br)cc1)c1ccc(O)cc1O,Cc1c(C(=O)O)sc(C(=O)O)c1C,*Oc1cc(OC(=O)c2sc(C(*)=O)c(C)c2C)ccc1C(=O)Cc1ccc(Br)cc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22857142857142856,0.22857142857142856,0.20854700854700853,0.20854700854700853,0.2048494983277592,33.0,149.0,95.0,94.0,146.0,0.21189138534559035,0.21189138534559035,0.19245008972987523,0.19245008972987523,0.20446520502738266,33.0,149.0,146.0,175.0,478.0,0.1964285715426339,0.1964285715426339,0.177595628530142,0.177595628530142,0.2040816327534361,146.0,149.0,33.0,175.0,478.0
CC(C)(C)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(Cc1ccc(Br)cc1)c1ccc(O)cc1O,*Oc1cc(OC(=O)c2cc(C(C)(C)C)ccc2C(*)=O)ccc1C(=O)Cc1ccc(Br)cc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.30420168067226894,0.2803921568627451,0.2772904483430799,0.25420054200542,0.25420054200542,33.0,32.0,487.0,94.0,95.0,0.30403449605253013,0.28005601680560194,0.26120130332312624,0.2518226243734694,0.2518226243734694,33.0,32.0,487.0,94.0,95.0,0.303867403415027,0.27972027982051934,0.24604569431161935,0.24946695106135044,0.24946695106135044,33.0,32.0,94.0,95.0,487.0
OC(c1n[nH]c(=S)n1-c1ccccc1)C(O)c1n[nH]c(=S)n1-c1ccccc1,Cc1ccc(C)n1-c1cc(C(=O)O)cc(C(=O)O)c1,*OC(c1n[nH]c(=S)n1-c1ccccc1)C(OC(=O)c1cc(C(*)=O)cc(-n2c(C)ccc2C)c1)c1n[nH]c(=S)n1-c1ccccc1,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.22162162162162163,0.22162162162162163,0.21722560975609756,0.21386603995299647,0.19558735837805605,717.0,716.0,310.0,303.0,614.0,0.22056438662814232,0.22056438662814232,0.19521720236075757,0.19692107135379325,0.19535451620220173,716.0,717.0,303.0,614.0,310.0,0.21951219522290305,0.21951219522290305,0.17543859661046476,0.1813186814338999,0.19512195131975016,716.0,717.0,614.0,386.0,138.0
COc1ccccc1C(CC(=O)O)CC(=O)O,OC(CCl)C(O)CSc1c(Cl)cccc1Cl,*OC(CSc1c(Cl)cccc1Cl)C(CCl)OC(=O)CC(CC(*)=O)c1ccccc1OC,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.25096525096525096,0.25096525096525096,0.2349624060150376,0.21944444444444444,0.20751879699248119,717.0,716.0,499.0,258.0,438.0,0.24854790640048002,0.24854790640048002,0.22941573387056177,0.21801574300387316,0.20149814827784024,717.0,716.0,499.0,258.0,438.0,0.24615384625576334,0.24615384625576334,0.22400000010466561,0.21659634327991956,0.1956521740187618,716.0,717.0,499.0,258.0,481.0
O=C(Cl)COCCOCCOCC(=O)Cl,Cc1cc(N)c(N)cc1Br,*Nc1cc(Br)c(C)cc1NC(=O)COCCOCCOCC(*)=O,"{'step_growth': ['di_acid_chloride', 'di_amine']}",1,0.20976744186046514,0.20755968169761274,0.2011494252873563,0.19523809523809524,0.18382352941176472,3.0,364.0,250.0,651.0,195.0,0.19766073824070493,0.1545078607873814,0.15161960871578067,0.13801311186847084,0.17149858514250885,3.0,195.0,338.0,538.0,364.0,0.18625277172983518,0.11501597458548111,0.11428571442889794,0.09756097575978583,0.16000000011296,3.0,338.0,195.0,538.0,2.0
Oc1nc(S)nc(O)c1N=Nc1ccccc1F,CC(Cc1ccc(F)cc1)(C(=O)O)C(=O)O,*Oc1nc(S)nc(OC(=O)C(C)(Cc2ccc(F)cc2)C(*)=O)c1N=Nc1ccccc1F,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.2763565891472868,0.2763565891472868,0.2763565891472868,0.2763565891472868,0.27543859649122804,733.0,728.0,729.0,730.0,175.0,0.26118394717816384,0.26118394717816384,0.26118394717816384,0.26118394717816384,0.2598920153623862,728.0,729.0,730.0,733.0,727.0,0.24684431988627512,0.24684431988627512,0.24684431988627512,0.24684431988627512,0.24522293004727574,729.0,733.0,728.0,730.0,175.0
Oc1ccc(C(F)(F)F)c(O)c1,O=C(O)CCCCCCCCC(=O)O,*Oc1cc(OC(=O)CCCCCCCCC(*)=O)ccc1C(F)(F)F,"{'step_growth': ['di_carboxylic_acid', 'di_ol']}",1,0.47916666666666663,0.47756410256410253,0.47756410256410253,0.47685185185185186,0.47685185185185186,459.0,462.0,454.0,456.0,455.0,0.1954339899926429,0.1877669040497027,0.1877669040497027,0.1842569327975222,0.1842569327975222,459.0,454.0,462.0,723.0,724.0,0.07971014511090106,0.07382550354024595,0.07382550354024595,0.07119741118830553,0.07119741118830553,762.0,609.0,526.0,722.0,731.0
